ds,y
2020-07-31T10:10:00.000,1188883
2020-07-31T10:20:00.000,1192068
2020-07-31T10:30:00.000,1154555
2020-07-31T10:40:00.000,1157364
2020-07-31T10:50:00.000,1136039
2020-07-31T11:00:00.000,1134879
2020-07-31T11:10:00.000,1112908
2020-07-31T11:20:00.000,1143238
2020-07-31T11:30:00.000,1097484
2020-07-31T11:40:00.000,1006317
2020-07-31T11:50:00.000,901974
2020-07-31T12:00:00.000,670013
2020-07-31T12:10:00.000,573853
2020-07-31T12:20:00.000,543117
2020-07-31T12:30:00.000,498699
2020-07-31T12:40:00.000,489257
2020-07-31T12:50:00.000,585359
2020-07-31T13:00:00.000,918806
2020-07-31T13:10:00.000,935594
2020-07-31T13:20:00.000,951223
2020-07-31T13:30:00.000,1056462
2020-07-31T13:40:00.000,1065892
2020-07-31T13:50:00.000,1064660
2020-07-31T14:00:00.000,1053474
2020-07-31T14:10:00.000,1027082
2020-07-31T14:20:00.000,1030698
2020-07-31T14:30:00.000,1001055
2020-07-31T14:40:00.000,1020554
2020-07-31T14:50:00.000,1052528
2020-07-31T15:00:00.000,1035234
2020-07-31T15:10:00.000,1033167
2020-07-31T15:20:00.000,1040573
2020-07-31T15:30:00.000,1056657
2020-07-31T15:40:00.000,1085098
2020-07-31T15:50:00.000,1087972
2020-07-31T16:00:00.000,1072764
2020-07-31T16:10:00.000,1086992
2020-07-31T16:20:00.000,1122970
2020-07-31T16:30:00.000,1091717
2020-07-31T16:40:00.000,1117435
2020-07-31T16:50:00.000,1163845
2020-07-31T17:00:00.000,1086047
2020-07-31T17:10:00.000,1086504
2020-07-31T17:20:00.000,1063843
2020-07-31T17:30:00.000,971850
2020-07-31T17:40:00.000,908908
2020-07-31T17:50:00.000,925437
2020-07-31T18:00:00.000,773243
2020-07-31T18:10:00.000,518316
2020-07-31T18:20:00.000,422675
2020-07-31T18:30:00.000,348682
2020-07-31T18:40:00.000,286733
2020-07-31T18:50:00.000,262648
2020-07-31T19:00:00.000,230553
2020-07-31T19:10:00.000,194203
2020-07-31T19:20:00.000,169699
2020-07-31T19:30:00.000,164222
2020-07-31T19:40:00.000,152664
2020-07-31T19:50:00.000,162085
2020-07-31T20:00:00.000,139567
2020-07-31T20:10:00.000,124268
2020-07-31T20:20:00.000,117640
2020-07-31T20:30:00.000,117357
2020-07-31T20:40:00.000,114935
2020-07-31T20:50:00.000,102459
2020-07-31T21:00:00.000,95866
2020-07-31T21:10:00.000,89481
2020-07-31T21:20:00.000,84566
2020-07-31T21:30:00.000,82963
2020-07-31T21:40:00.000,77985
2020-07-31T21:50:00.000,78146
2020-07-31T22:00:00.000,71223
2020-07-31T22:10:00.000,63199
2020-07-31T22:20:00.000,63473
2020-07-31T22:30:00.000,69639
2020-07-31T22:40:00.000,63752
2020-07-31T22:50:00.000,60600
2020-07-31T23:00:00.000,71405
2020-07-31T23:10:00.000,63942
2020-07-31T23:20:00.000,61937
2020-07-31T23:30:00.000,53565
2020-07-31T23:40:00.000,56700
2020-07-31T23:50:00.000,54292
2020-08-01T00:00:00.000,53213
2020-08-01T00:10:00.000,51126
2020-08-01T00:20:00.000,51262
2020-08-01T00:30:00.000,42830
2020-08-01T00:40:00.000,46755
2020-08-01T00:50:00.000,45488
2020-08-01T01:00:00.000,43077
2020-08-01T01:10:00.000,44341
2020-08-01T01:20:00.000,39571
2020-08-01T01:30:00.000,38496
2020-08-01T01:40:00.000,36633
2020-08-01T01:50:00.000,40517
2020-08-01T02:00:00.000,39267
2020-08-01T02:10:00.000,37251
2020-08-01T02:20:00.000,40079
2020-08-01T02:30:00.000,38361
2020-08-01T02:40:00.000,39808
2020-08-01T02:50:00.000,36670
2020-08-01T03:00:00.000,33633
2020-08-01T03:10:00.000,35244
2020-08-01T03:20:00.000,34253
2020-08-01T03:30:00.000,34039
2020-08-01T03:40:00.000,34053
2020-08-01T03:50:00.000,36426
2020-08-01T04:00:00.000,33727
2020-08-01T04:10:00.000,34123
2020-08-01T04:20:00.000,36040
2020-08-01T04:30:00.000,35289
2020-08-01T04:40:00.000,33795
2020-08-01T04:50:00.000,32201
2020-08-01T05:00:00.000,34404
2020-08-01T05:10:00.000,34847
2020-08-01T05:20:00.000,35870
2020-08-01T05:30:00.000,37640
2020-08-01T05:40:00.000,39181
2020-08-01T05:50:00.000,37859
2020-08-01T06:00:00.000,39056
2020-08-01T06:10:00.000,41633
2020-08-01T06:20:00.000,41438
2020-08-01T06:30:00.000,49778
2020-08-01T06:40:00.000,50516
2020-08-01T06:50:00.000,49726
2020-08-01T07:00:00.000,54358
2020-08-01T07:10:00.000,53790
2020-08-01T07:20:00.000,50088
2020-08-01T07:30:00.000,59448
2020-08-01T07:40:00.000,60735
2020-08-01T07:50:00.000,77698
2020-08-01T08:00:00.000,89103
2020-08-01T08:10:00.000,99379
2020-08-01T08:20:00.000,103358
2020-08-01T08:30:00.000,97999
2020-08-01T08:40:00.000,106951
2020-08-01T08:50:00.000,132267
2020-08-01T09:00:00.000,135286
2020-08-01T09:10:00.000,126291
2020-08-01T09:20:00.000,128892
2020-08-01T09:30:00.000,123272
2020-08-01T09:40:00.000,135581
2020-08-01T09:50:00.000,140698
2020-08-01T10:00:00.000,125619
2020-08-01T10:10:00.000,125485
2020-08-01T10:20:00.000,120888
2020-08-01T10:30:00.000,122078
2020-08-01T10:40:00.000,126117
2020-08-01T10:50:00.000,124268
2020-08-01T11:00:00.000,112701
2020-08-01T11:10:00.000,109116
2020-08-01T11:20:00.000,119814
2020-08-01T11:30:00.000,119144
2020-08-01T11:40:00.000,106234
2020-08-01T11:50:00.000,107805
2020-08-01T12:00:00.000,101253
2020-08-01T12:10:00.000,98458
2020-08-01T12:20:00.000,102547
2020-08-01T12:30:00.000,93605
2020-08-01T12:40:00.000,92576
2020-08-01T12:50:00.000,93412
2020-08-01T13:00:00.000,98217
2020-08-01T13:10:00.000,91642
2020-08-01T13:20:00.000,94024
2020-08-01T13:30:00.000,99326
2020-08-01T13:40:00.000,100875
2020-08-01T13:50:00.000,98013
2020-08-01T14:00:00.000,106943
2020-08-01T14:10:00.000,110616
2020-08-01T14:20:00.000,104064
2020-08-01T14:30:00.000,94788
2020-08-01T14:40:00.000,96048
2020-08-01T14:50:00.000,93923
2020-08-01T15:00:00.000,106107
2020-08-01T15:10:00.000,109113
2020-08-01T15:20:00.000,101917
2020-08-01T15:30:00.000,94973
2020-08-01T15:40:00.000,98658
2020-08-01T15:50:00.000,95707
2020-08-01T16:00:00.000,97285
2020-08-01T16:10:00.000,91665
2020-08-01T16:20:00.000,99796
2020-08-01T16:30:00.000,97324
2020-08-01T16:40:00.000,91935
2020-08-01T16:50:00.000,91768
2020-08-01T17:00:00.000,89769
2020-08-01T17:10:00.000,85917
2020-08-01T17:20:00.000,92011
2020-08-01T17:30:00.000,88717
2020-08-01T17:40:00.000,79933
2020-08-01T17:50:00.000,82672
2020-08-01T18:00:00.000,74915
2020-08-01T18:10:00.000,64307
2020-08-01T18:20:00.000,69734
2020-08-01T18:30:00.000,71103
2020-08-01T18:40:00.000,60471
2020-08-01T18:50:00.000,66000
2020-08-01T19:00:00.000,57512
2020-08-01T19:10:00.000,57680
2020-08-01T19:20:00.000,52355
2020-08-01T19:30:00.000,48969
2020-08-01T19:40:00.000,51285
2020-08-01T19:50:00.000,54137
2020-08-01T20:00:00.000,50892
2020-08-01T20:10:00.000,53973
2020-08-01T20:20:00.000,52139
2020-08-01T20:30:00.000,52376
2020-08-01T20:40:00.000,46312
2020-08-01T20:50:00.000,51472
2020-08-01T21:00:00.000,43376
2020-08-01T21:10:00.000,46553
2020-08-01T21:20:00.000,49052
2020-08-01T21:30:00.000,42652
2020-08-01T21:40:00.000,50131
2020-08-01T21:50:00.000,49417
2020-08-01T22:00:00.000,45416
2020-08-01T22:10:00.000,46003
2020-08-01T22:20:00.000,44392
2020-08-01T22:30:00.000,46970
2020-08-01T22:40:00.000,45054
2020-08-01T22:50:00.000,38629
2020-08-01T23:00:00.000,39608
2020-08-01T23:10:00.000,39868
2020-08-01T23:20:00.000,37804
2020-08-01T23:30:00.000,35212
2020-08-01T23:40:00.000,35765
2020-08-01T23:50:00.000,34902
2020-08-02T00:00:00.000,38762
2020-08-02T00:10:00.000,35720
2020-08-02T00:20:00.000,37167
2020-08-02T00:30:00.000,36503
2020-08-02T00:40:00.000,34300
2020-08-02T00:50:00.000,32056
2020-08-02T01:00:00.000,32827
2020-08-02T01:10:00.000,30580
2020-08-02T01:20:00.000,34555
2020-08-02T01:30:00.000,30891
2020-08-02T01:40:00.000,33643
2020-08-02T01:50:00.000,29643
2020-08-02T02:00:00.000,29622
2020-08-02T02:10:00.000,29985
2020-08-02T02:20:00.000,28695
2020-08-02T02:30:00.000,28926
2020-08-02T02:40:00.000,29828
2020-08-02T02:50:00.000,29951
2020-08-02T03:00:00.000,28192
2020-08-02T03:10:00.000,28251
2020-08-02T03:20:00.000,29917
2020-08-02T03:30:00.000,29373
2020-08-02T03:40:00.000,27823
2020-08-02T03:50:00.000,30151
2020-08-02T04:00:00.000,28516
2020-08-02T04:10:00.000,28162
2020-08-02T04:20:00.000,26657
2020-08-02T04:30:00.000,27922
2020-08-02T04:40:00.000,29580
2020-08-02T04:50:00.000,28678
2020-08-02T05:00:00.000,31397
2020-08-02T05:10:00.000,29343
2020-08-02T05:20:00.000,29037
2020-08-02T05:30:00.000,31257
2020-08-02T05:40:00.000,31028
2020-08-02T05:50:00.000,32562
2020-08-02T06:00:00.000,32832
2020-08-02T06:10:00.000,30612
2020-08-02T06:20:00.000,33605
2020-08-02T06:30:00.000,35181
2020-08-02T06:40:00.000,33495
2020-08-02T06:50:00.000,40790
2020-08-02T07:00:00.000,37797
2020-08-02T07:10:00.000,39501
2020-08-02T07:20:00.000,42422
2020-08-02T07:30:00.000,38363
2020-08-02T07:40:00.000,41905
2020-08-02T07:50:00.000,45825
2020-08-02T08:00:00.000,49670
2020-08-02T08:10:00.000,50134
2020-08-02T08:20:00.000,55232
2020-08-02T08:30:00.000,49725
2020-08-02T08:40:00.000,58930
2020-08-02T08:50:00.000,64214
2020-08-02T09:00:00.000,64502
2020-08-02T09:10:00.000,67980
2020-08-02T09:20:00.000,65687
2020-08-02T09:30:00.000,64951
2020-08-02T09:40:00.000,58708
2020-08-02T09:50:00.000,63913
2020-08-02T10:00:00.000,57236
2020-08-02T10:10:00.000,61631
2020-08-02T10:20:00.000,63283
2020-08-02T10:30:00.000,66895
2020-08-02T10:40:00.000,63720
2020-08-02T10:50:00.000,62384
2020-08-02T11:00:00.000,70473
2020-08-02T11:10:00.000,70118
2020-08-02T11:20:00.000,65650
2020-08-02T11:30:00.000,73311
2020-08-02T11:40:00.000,67854
2020-08-02T11:50:00.000,64634
2020-08-02T12:00:00.000,67044
2020-08-02T12:10:00.000,64617
2020-08-02T12:20:00.000,67503
2020-08-02T12:30:00.000,73410
2020-08-02T12:40:00.000,68493
2020-08-02T12:50:00.000,66900
2020-08-02T13:00:00.000,66899
2020-08-02T13:10:00.000,75382
2020-08-02T13:20:00.000,71882
2020-08-02T13:30:00.000,69560
2020-08-02T13:40:00.000,74567
2020-08-02T13:50:00.000,76961
2020-08-02T14:00:00.000,75035
2020-08-02T14:10:00.000,79565
2020-08-02T14:20:00.000,69344
2020-08-02T14:30:00.000,69634
2020-08-02T14:40:00.000,71769
2020-08-02T14:50:00.000,75256
2020-08-02T15:00:00.000,81040
2020-08-02T15:10:00.000,72596
2020-08-02T15:20:00.000,71254
2020-08-02T15:30:00.000,72022
2020-08-02T15:40:00.000,72229
2020-08-02T15:50:00.000,75559
2020-08-02T16:00:00.000,74060
2020-08-02T16:10:00.000,73340
2020-08-02T16:20:00.000,76981
2020-08-02T16:30:00.000,73197
2020-08-02T16:40:00.000,79457
2020-08-02T16:50:00.000,70247
2020-08-02T17:00:00.000,74896
2020-08-02T17:10:00.000,71738
2020-08-02T17:20:00.000,65925
2020-08-02T17:30:00.000,68792
2020-08-02T17:40:00.000,70067
2020-08-02T17:50:00.000,73810
2020-08-02T18:00:00.000,75903
2020-08-02T18:10:00.000,60982
2020-08-02T18:20:00.000,60344
2020-08-02T18:30:00.000,62761
2020-08-02T18:40:00.000,60547
2020-08-02T18:50:00.000,54692
2020-08-02T19:00:00.000,56405
2020-08-02T19:10:00.000,58444
2020-08-02T19:20:00.000,55113
2020-08-02T19:30:00.000,57029
2020-08-02T19:40:00.000,53230
